@relation party

@attribute bin1 numeric
@attribute bin2 numeric
@attribute bin3 numeric
@attribute bin4 numeric
@attribute bin5 numeric
@attribute bin6 numeric
@attribute bin7 numeric
@attribute bin8 numeric
@attribute bin9 numeric
@attribute bin10 numeric
@attribute bin11 numeric
@attribute bin12 numeric
@attribute bin13 numeric
@attribute bin14 numeric
@attribute bin15 numeric
@attribute bin16 numeric
@attribute bin17 numeric
@attribute bin18 numeric
@attribute bin19 numeric
@attribute bin20 numeric
@attribute bin21 numeric
@attribute bin22 numeric
@attribute bin23 numeric
@attribute bin24 numeric
@attribute bin25 numeric
@attribute bin26 numeric
@attribute bin27 numeric
@attribute bin28 numeric
@attribute bin29 numeric
@attribute bin30 numeric
@attribute bin31 numeric
@attribute bin32 numeric
@attribute isParty {YES, NO}

@data
24.0, 6.0, 6.0, 6.0, 6.0, 7.0, 8.0, 8.0, 8.0, 9.0, 10.0, 11.0, 13.0, 13.0, 14.0, 16.0, 19.0, 21.0, 23.0, 23.0, 24.0, 30.0, 32.0, 36.0, 39.0, 40.0, 40.0, 43.0, 46.0, 53.0, 61.0, 160.0, YES
4.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 8.0, 9.0, 10.0, 14.0, 19.0, 28.0, 52.0, 160.0, YES
5.0, 10.0, 16.0, 17.0, 16.0, 14.0, 13.0, 12.0, 11.0, 10.0, 10.0, 12.0, 12.0, 11.0, 12.0, 12.0, 12.0, 11.0, 11.0, 11.0, 10.0, 11.0, 12.0, 14.0, 17.0, 18.0, 17.0, 15.0, 16.0, 17.0, 21.0, 160.0, YES
160.0, 49.0, 30.0, 24.0, 20.0, 18.0, 17.0, 16.0, 16.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 15.0, 15.0, 16.0, 16.0, 18.0, 18.0, 18.0, 20.0, 23.0, 22.0, 23.0, 26.0, 30.0, 41.0, 64.0, 64.0, YES
160.0, 42.0, 29.0, 25.0, 22.0, 26.0, 25.0, 20.0, 16.0, 14.0, 14.0, 14.0, 14.0, 13.0, 14.0, 14.0, 14.0, 15.0, 16.0, 16.0, 17.0, 18.0, 20.0, 22.0, 24.0, 27.0, 30.0, 34.0, 38.0, 47.0, 58.0, 47.0, YES
37.0, 136.0, 109.0, 63.0, 37.0, 30.0, 28.0, 27.0, 27.0, 26.0, 26.0, 26.0, 27.0, 29.0, 31.0, 33.0, 36.0, 38.0, 40.0, 43.0, 49.0, 52.0, 56.0, 63.0, 66.0, 70.0, 73.0, 81.0, 90.0, 92.0, 87.0, 160.0, YES
12.0, 63.0, 96.0, 105.0, 84.0, 68.0, 85.0, 83.0, 79.0, 67.0, 66.0, 70.0, 69.0, 67.0, 72.0, 68.0, 66.0, 66.0, 69.0, 69.0, 71.0, 86.0, 96.0, 123.0, 160.0, 107.0, 109.0, 92.0, 68.0, 58.0, 54.0, 88.0, YES
160.0, 71.0, 53.0, 52.0, 52.0, 53.0, 58.0, 58.0, 63.0, 66.0, 81.0, 72.0, 59.0, 52.0, 48.0, 48.0, 42.0, 38.0, 36.0, 38.0, 44.0, 51.0, 40.0, 35.0, 35.0, 37.0, 38.0, 35.0, 32.0, 35.0, 36.0, 65.0, YES
20.0, 19.0, 20.0, 16.0, 16.0, 15.0, 14.0, 13.0, 12.0, 11.0, 11.0, 11.0, 12.0, 12.0, 13.0, 14.0, 14.0, 16.0, 18.0, 20.0, 23.0, 30.0, 35.0, 48.0, 62.0, 68.0, 64.0, 61.0, 64.0, 79.0, 124.0, 160.0, YES
1.0, 1.0, 2.0, 4.0, 5.0, 5.0, 5.0, 6.0, 7.0, 7.0, 8.0, 8.0, 9.0, 11.0, 12.0, 13.0, 14.0, 15.0, 15.0, 16.0, 17.0, 18.0, 22.0, 27.0, 42.0, 48.0, 51.0, 48.0, 46.0, 53.0, 100.0, 160.0, YES
39.0, 11.0, 8.0, 7.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 6.0, 7.0, 7.0, 7.0, 8.0, 8.0, 9.0, 9.0, 10.0, 11.0, 12.0, 13.0, 17.0, 24.0, 160.0, YES
7.0, 46.0, 160.0, 64.0, 20.0, 23.0, 20.0, 19.0, 19.0, 18.0, 18.0, 18.0, 19.0, 18.0, 20.0, 22.0, 24.0, 28.0, 25.0, 23.0, 24.0, 21.0, 18.0, 16.0, 15.0, 13.0, 11.0, 9.0, 7.0, 6.0, 4.0, 4.0, YES
109.0, 156.0, 149.0, 154.0, 160.0, 160.0, 151.0, 135.0, 115.0, 108.0, 101.0, 95.0, 94.0, 86.0, 75.0, 74.0, 74.0, 77.0, 70.0, 72.0, 80.0, 81.0, 87.0, 82.0, 78.0, 74.0, 81.0, 62.0, 61.0, 48.0, 36.0, 122.0, YES
160.0, 86.0, 35.0, 16.0, 12.0, 10.0, 9.0, 8.0, 8.0, 7.0, 7.0, 7.0, 6.0, 6.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 8.0, YES
18.0, 12.0, 15.0, 19.0, 19.0, 20.0, 20.0, 19.0, 19.0, 19.0, 20.0, 21.0, 23.0, 26.0, 29.0, 35.0, 45.0, 54.0, 63.0, 160.0, 157.0, 64.0, 19.0, 12.0, 10.0, 8.0, 6.0, 5.0, 3.0, 3.0, 2.0, 3.0, YES
