@relation party

@attribute borders numeric
@attribute isParty {YES, NO}

@data
1986, YES
1304, YES
3499, YES
7179, YES
1304, YES
2421, YES
7306, YES
7188, YES
4154, YES
6134, YES
7926, YES
4075, YES
6333, YES
6986, YES
11251, YES
19639, YES
10905, YES
7352, YES
5140, YES
8572, YES
6465, YES
6186, YES
3089, YES
2899, YES
136, YES
500, YES
4275, YES
4194, YES
6505, YES
8596, YES
1304, YES
3065, YES
11223, YES
1207, YES
1031, YES
1143, YES
535, YES
1140, YES
756, YES
6122, YES
6536, YES
359, YES
2668, YES
2760, YES
2784, YES
5573, YES
8701, YES
5009, YES
2318, YES
515, YES
6907, YES
4815, YES
2264, YES
1234, YES
1078, YES
3972, YES
5669, YES
14394, YES
15868, YES
22273, YES
4449, YES
2576, YES
3626, YES
6801, YES
3203, YES
53807, YES
7763, YES
3533, YES
3675, YES
2774, YES
2204, YES
250, YES
1216, YES
5105, YES
1425, YES
0, YES
0, YES
0, YES
2989, NO
3055, NO
2915, NO
285, NO
575, NO
304, NO
138, NO
3297, NO
392, NO
1149, NO
1154, NO
459, NO
7898, NO
512, NO
344, NO
1963, NO
2417, NO
7953, NO
806, NO
791, NO
1130, NO
10961, NO
6349, NO
1044, NO
3934, NO
6358, NO
3170, NO
2278, NO
477, NO
1195, NO
443, NO
3377, NO
2098, NO
5662, NO
2377, NO
1796, NO
2092, NO
5134, NO
6, NO
1201, NO
5800, NO
3420, NO
1101, NO
84, NO
1599, NO
171, NO
1206, NO
1864, NO
314, NO
770, NO
2963, NO
1976, NO
841, NO
3016, NO
315, NO
980, NO
2125, NO
61, NO
851, NO
4661, NO
733, NO
1083, NO
2123, NO
231, NO
536, NO
1690, NO
51, NO
4711, NO
1433, NO
259, NO
1894, NO
1509, NO
1528, NO
4553, NO
2222, NO
0, NO
0, NO
0, NO
