@relation party

@attribute borders numeric
@attribute isParty {YES, NO}

@data
2337, YES
1352, YES
2731, YES
5688, YES
1280, YES
2048, YES
6008, YES
6806, YES
3507, YES
3809, YES
6796, YES
2928, YES
4657, YES
5992, YES
10416, YES
15042, YES
2833, YES
10950, YES
3317, YES
4438, YES
5139, YES
4318, YES
3479, YES
2288, YES
156, YES
626, YES
6976, YES
3073, YES
5278, YES
3615, YES
4431, YES
2429, YES
8635, YES
1763, YES
843, YES
1274, YES
561, YES
1614, YES
956, YES
3502, YES
8718, YES
806, YES
964, YES
1974, YES
3032, YES
4025, YES
5975, YES
2994, YES
1086, YES
578, YES
7002, YES
2363, YES
2487, YES
1268, YES
806, YES
3493, YES
2734, YES
5341, YES
13218, YES
12774, YES
1169, YES
2190, YES
2079, YES
4092, YES
2446, YES
55283, YES
6247, YES
2060, YES
1634, YES
7048, YES
1442, YES
120, YES
1392, YES
4869, YES
696, YES
2879, YES
0, YES
0, YES
1933, NO
1790, NO
4996, NO
395, NO
1757, NO
613, NO
259, NO
1616, NO
1557, NO
1065, NO
503, NO
285, NO
7023, NO
1361, NO
2303, NO
2635, NO
2886, NO
5974, NO
665, NO
811, NO
994, NO
12428, NO
6253, NO
2937, NO
4273, NO
5136, NO
4224, NO
3360, NO
353, NO
1977, NO
1109, NO
7098, NO
2134, NO
5102, NO
2355, NO
1822, NO
3064, NO
3567, NO
23, NO
4846, NO
4651, NO
3175, NO
892, NO
247, NO
1692, NO
235, NO
1567, NO
2837, NO
279, NO
1085, NO
11195, NO
1886, NO
3440, NO
2808, NO
166, NO
1445, NO
753, NO
47, NO
2589, NO
5904, NO
1001, NO
1829, NO
2668, NO
28, NO
647, NO
1045, NO
97, NO
3966, NO
4817, NO
161, NO
3274, NO
2251, NO
2956, NO
2886, NO
690, NO
1845, NO
0, NO
0, NO
