@relation party

@attribute borders numeric
@attribute isParty {YES, NO}

@data
1565, YES
924, YES
1831, YES
4233, YES
851, YES
1525, YES
4120, YES
4539, YES
2462, YES
2227, YES
4226, YES
1693, YES
3087, YES
3900, YES
7909, YES
10748, YES
1344, YES
7858, YES
2053, YES
2706, YES
3583, YES
2771, YES
2457, YES
1597, YES
94, YES
411, YES
5271, YES
2216, YES
3552, YES
2315, YES
3973, YES
1995, YES
6112, YES
1266, YES
574, YES
863, YES
392, YES
1140, YES
573, YES
2134, YES
7183, YES
561, YES
589, YES
1404, YES
1901, YES
2955, YES
3537, YES
1849, YES
586, YES
368, YES
4468, YES
1684, YES
1638, YES
767, YES
513, YES
2318, YES
1815, YES
3278, YES
9189, YES
8151, YES
761, YES
1510, YES
1365, YES
2482, YES
1585, YES
40526, YES
4125, YES
1365, YES
940, YES
6066, YES
1065, YES
59, YES
888, YES
3697, YES
388, YES
0, YES
0, YES
0, YES
1147, NO
1004, NO
3801, NO
186, NO
1305, NO
396, NO
96, NO
823, NO
1082, NO
672, NO
304, NO
165, NO
4935, NO
964, NO
1188, NO
1708, NO
1699, NO
4299, NO
461, NO
512, NO
470, NO
8340, NO
3797, NO
2214, NO
3488, NO
4186, NO
2838, NO
2342, NO
181, NO
1436, NO
805, NO
5037, NO
1464, NO
3908, NO
1401, NO
1223, NO
2039, NO
2386, NO
7, NO
3796, NO
3574, NO
2333, NO
694, NO
132, NO
1075, NO
154, NO
950, NO
1704, NO
199, NO
586, NO
9210, NO
1159, NO
2241, NO
1849, NO
56, NO
886, NO
485, NO
11, NO
1940, NO
4301, NO
650, NO
1080, NO
1837, NO
5, NO
230, NO
549, NO
46, NO
2767, NO
3854, NO
106, NO
2204, NO
1615, NO
1894, NO
1986, NO
321, NO
0, NO
0, NO
0, NO
