@relation party

@attribute borders numeric
@attribute isParty {YES, NO}

@data
3493, YES
2021, YES
4103, YES
8053, YES
2051, YES
2922, YES
8715, YES
10187, YES
5155, YES
6555, YES
10964, YES
5348, YES
7153, YES
9070, YES
13968, YES
21031, YES
5722, YES
15360, YES
5522, YES
7604, YES
7637, YES
6844, YES
5237, YES
3237, YES
276, YES
1015, YES
9274, YES
4399, YES
7791, YES
5719, YES
5020, YES
3085, YES
12433, YES
2557, YES
1260, YES
1880, YES
869, YES
2427, YES
1701, YES
5759, YES
10628, YES
1175, YES
1663, YES
2939, YES
4834, YES
5498, YES
10222, YES
4970, YES
1930, YES
1037, YES
11048, YES
3537, YES
3843, YES
2030, YES
1307, YES
5442, YES
4233, YES
8687, YES
19336, YES
20222, YES
1870, YES
3148, YES
3237, YES
6890, YES
3727, YES
78010, YES
9498, YES
3086, YES
2880, YES
8356, YES
2000, YES
265, YES
2234, YES
6618, YES
1253, YES
0, YES
0, YES
0, YES
3238, NO
3161, NO
6807, NO
776, NO
2125, NO
1016, NO
722, NO
3289, NO
2223, NO
1769, NO
933, NO
524, NO
10187, NO
2078, NO
4295, NO
4054, NO
4813, NO
8123, NO
1123, NO
1330, NO
2156, NO
18641, NO
10328, NO
3980, NO
5430, NO
6345, NO
6490, NO
4794, NO
614, NO
2615, NO
1585, NO
9917, NO
3211, NO
6653, NO
4198, NO
2851, NO
4770, NO
5355, NO
208, NO
6173, NO
6146, NO
4385, NO
1213, NO
447, NO
2677, NO
404, NO
2701, NO
4855, NO
599, NO
1925, NO
13547, NO
3010, NO
5453, NO
4500, NO
491, NO
2496, NO
1264, NO
143, NO
3692, NO
8064, NO
1645, NO
3140, NO
3859, NO
118, NO
1677, NO
2293, NO
226, NO
5891, NO
6175, NO
260, NO
5129, NO
3329, NO
4949, NO
4389, NO
1617, NO
0, NO
0, NO
0, NO
