@relation party

@attribute borders numeric
@attribute isParty {YES, NO}

@data
0, YES
3, YES
35, YES
84, YES
0, YES
2, YES
227, YES
87, YES
146, YES
2, YES
3, YES
0, YES
130, YES
123, YES
3866, YES
585, YES
0, YES
1670, YES
87, YES
84, YES
1717, YES
41, YES
1, YES
34, YES
0, YES
1, YES
62, YES
2, YES
191, YES
2, YES
9, YES
15, YES
547, YES
19, YES
34, YES
0, YES
15, YES
12, YES
1, YES
2, YES
733, YES
2, YES
4, YES
0, YES
47, YES
795, YES
331, YES
98, YES
113, YES
1, YES
1113, YES
25, YES
19, YES
0, YES
0, YES
1, YES
22, YES
0, YES
303, YES
955, YES
0, YES
38, YES
10, YES
1, YES
32, YES
155, YES
68, YES
43, YES
1, YES
11, YES
5, YES
2, YES
6, YES
65, YES
3, YES
0, YES
0, YES
0, YES
12, NO
0, NO
237, NO
0, NO
30, NO
33, NO
2, NO
1, NO
1, NO
7, NO
4, NO
0, NO
2282, NO
0, NO
0, NO
6, NO
15, NO
59, NO
375, NO
1, NO
7, NO
3366, NO
41, NO
273, NO
47, NO
13, NO
35, NO
36, NO
2, NO
6, NO
0, NO
33, NO
127, NO
833, NO
0, NO
7, NO
36, NO
3, NO
0, NO
3, NO
394, NO
0, NO
8, NO
0, NO
113, NO
4, NO
27, NO
0, NO
80, NO
9, NO
220, NO
578, NO
72, NO
460, NO
0, NO
0, NO
0, NO
0, NO
55, NO
0, NO
5, NO
0, NO
22, NO
0, NO
235, NO
40, NO
0, NO
342, NO
24, NO
0, NO
2, NO
70, NO
233, NO
14, NO
108, NO
0, NO
0, NO
0, NO
